index,acc_x,acc_z,resp,pzt,eda,emg
297,607,544,450,970,24,33
298,607,543,454,971,24,33
299,609,544,458,970,24,33
300,608,546,462,971,24,33
301,607,544,465,971,24,33
302,606,543,469,971,24,33
303,608,544,472,971,24,33
304,608,546,476,971,24,33
305,607,544,479,971,24,33
306,607,543,482,971,24,33
307,608,545,485,971,24,33
308,608,544,487,971,24,33
309,607,544,489,971,24,33
310,606,543,491,971,24,33
311,607,544,492,971,24,33
312,608,544,494,971,24,33
313,607,543,494,971,24,33
314,607,543,495,971,24,33
315,608,545,495,971,24,33
316,608,546,495,971,24,33
317,607,543,495,970,24,33
318,607,543,495,971,24,33
319,608,543,496,970,24,33
320,608,545,496,970,24,33
321,607,544,498,970,24,33
322,606,543,500,931,24,33
323,608,544,502,734,24,33
324,608,545,503,538,24,33
325,608,545,504,368,24,33
326,606,543,504,217,24,33
327,608,544,505,97,24,33
328,608,544,506,0,24,33
329,607,545,506,0,24,33
330,607,543,507,0,24,33
331,608,543,508,0,24,33
332,608,545,508,0,24,33
333,608,545,508,0,24,33
334,607,544,508,0,24,33
335,608,544,509,0,24,33
336,608,544,509,0,24,33
337,608,545,509,0,24,33
338,607,543,508,0,24,33
339,607,545,508,0,24,33
340,608,545,508,0,24,33
341,607,545,508,0,24,33
342,607,544,508,0,24,33
343,608,543,508,0,24,33
344,607,545,507,0,24,33
345,608,545,507,0,24,33
346,608,543,506,0,24,33
347,608,543,505,56,24,33
348,608,544,504,165,24,33
349,607,545,504,279,24,33
350,607,543,504,372,24,33
351,608,543,503,459,24,33
352,607,544,502,521,24,33
353,608,544,502,575,24,33
354,606,543,502,605,24,33
355,607,543,501,631,24,33
356,608,544,501,638,24,33
357,608,544,500,643,24,33
358,608,543,500,635,24,33
359,607,544,499,634,24,33
360,607,545,499,625,24,33
361,608,545,499,625,24,33
362,607,544,499,622,24,33
363,608,543,498,632,24,33
364,607,544,497,637,24,33
365,608,545,496,656,24,33
366,607,544,496,671,24,33
367,607,544,496,700,24,33
368,607,545,495,724,24,33
369,608,545,495,756,24,33
370,608,544,495,775,24,33
371,608,544,495,798,24,33
